pkmn_id|game_version|extraer_datetime
1|red|2024-08-04 13:57:47.797073
1|blue|2024-08-04 13:57:47.797073
1|yellow|2024-08-04 13:57:47.797073
1|gold|2024-08-04 13:57:47.797073
1|silver|2024-08-04 13:57:47.797073
1|crystal|2024-08-04 13:57:47.797073
1|ruby|2024-08-04 13:57:47.797073
1|sapphire|2024-08-04 13:57:47.797073
1|emerald|2024-08-04 13:57:47.797073
1|firered|2024-08-04 13:57:47.797073
1|leafgreen|2024-08-04 13:57:47.797073
1|diamond|2024-08-04 13:57:47.797073
1|pearl|2024-08-04 13:57:47.797073
1|platinum|2024-08-04 13:57:47.797073
1|heartgold|2024-08-04 13:57:47.797073
1|soulsilver|2024-08-04 13:57:47.797073
1|black|2024-08-04 13:57:47.797073
1|white|2024-08-04 13:57:47.797073
1|black-2|2024-08-04 13:57:47.797073
1|white-2|2024-08-04 13:57:47.797073
2|red|2024-08-04 13:57:47.797073
2|blue|2024-08-04 13:57:47.797073
2|yellow|2024-08-04 13:57:47.797073
2|gold|2024-08-04 13:57:47.797073
2|silver|2024-08-04 13:57:47.797073
2|crystal|2024-08-04 13:57:47.797073
2|ruby|2024-08-04 13:57:47.797073
2|sapphire|2024-08-04 13:57:47.797073
2|emerald|2024-08-04 13:57:47.797073
2|firered|2024-08-04 13:57:47.797073
2|leafgreen|2024-08-04 13:57:47.797073
2|diamond|2024-08-04 13:57:47.797073
2|pearl|2024-08-04 13:57:47.797073
2|platinum|2024-08-04 13:57:47.797073
2|heartgold|2024-08-04 13:57:47.797073
2|soulsilver|2024-08-04 13:57:47.797073
2|black|2024-08-04 13:57:47.797073
2|white|2024-08-04 13:57:47.797073
2|black-2|2024-08-04 13:57:47.797073
2|white-2|2024-08-04 13:57:47.797073
3|red|2024-08-04 13:57:47.797073
3|blue|2024-08-04 13:57:47.797073
3|yellow|2024-08-04 13:57:47.797073
3|gold|2024-08-04 13:57:47.797073
3|silver|2024-08-04 13:57:47.797073
3|crystal|2024-08-04 13:57:47.797073
3|ruby|2024-08-04 13:57:47.797073
3|sapphire|2024-08-04 13:57:47.797073
3|emerald|2024-08-04 13:57:47.797073
