pkmn_id|ability_id|ability_is_hidden|transformar_datetime
1|65|False|2024-08-04 13:58:08.956040
1|34|True|2024-08-04 13:58:08.956040
2|65|False|2024-08-04 13:58:08.956040
2|34|True|2024-08-04 13:58:08.956040
3|65|False|2024-08-04 13:58:08.956040
3|34|True|2024-08-04 13:58:08.956040
4|66|False|2024-08-04 13:58:08.956040
4|94|True|2024-08-04 13:58:08.956040
5|66|False|2024-08-04 13:58:08.956040
5|94|True|2024-08-04 13:58:08.956040
6|66|False|2024-08-04 13:58:08.956040
6|94|True|2024-08-04 13:58:08.956040
7|67|False|2024-08-04 13:58:08.956040
7|44|True|2024-08-04 13:58:08.956040
8|67|False|2024-08-04 13:58:08.956040
8|44|True|2024-08-04 13:58:08.956040
9|67|False|2024-08-04 13:58:08.956040
9|44|True|2024-08-04 13:58:08.956040
10|19|False|2024-08-04 13:58:08.956040
10|50|True|2024-08-04 13:58:08.956040
11|61|False|2024-08-04 13:58:08.956040
12|14|False|2024-08-04 13:58:08.956040
12|110|True|2024-08-04 13:58:08.956040
13|19|False|2024-08-04 13:58:08.956040
13|50|True|2024-08-04 13:58:08.956040
14|61|False|2024-08-04 13:58:08.956040
15|68|False|2024-08-04 13:58:08.956040
15|97|True|2024-08-04 13:58:08.956040
16|51|False|2024-08-04 13:58:08.956040
16|77|False|2024-08-04 13:58:08.956040
16|145|True|2024-08-04 13:58:08.956040
17|51|False|2024-08-04 13:58:08.956040
17|77|False|2024-08-04 13:58:08.956040
17|145|True|2024-08-04 13:58:08.956040
18|51|False|2024-08-04 13:58:08.956040
18|77|False|2024-08-04 13:58:08.956040
18|145|True|2024-08-04 13:58:08.956040
19|50|False|2024-08-04 13:58:08.956040
19|62|False|2024-08-04 13:58:08.956040
19|55|True|2024-08-04 13:58:08.956040
20|50|False|2024-08-04 13:58:08.956040
20|62|False|2024-08-04 13:58:08.956040
20|55|True|2024-08-04 13:58:08.956040
21|51|False|2024-08-04 13:58:08.956040
21|97|True|2024-08-04 13:58:08.956040
22|51|False|2024-08-04 13:58:08.956040
22|97|True|2024-08-04 13:58:08.956040
23|22|False|2024-08-04 13:58:08.956040
23|61|False|2024-08-04 13:58:08.956040
23|127|True|2024-08-04 13:58:08.956040
24|22|False|2024-08-04 13:58:08.956040
24|61|False|2024-08-04 13:58:08.956040
24|127|True|2024-08-04 13:58:08.956040
25|9|False|2024-08-04 13:58:08.956040
25|31|True|2024-08-04 13:58:08.956040
26|9|False|2024-08-04 13:58:08.956040
26|31|True|2024-08-04 13:58:08.956040
27|8|False|2024-08-04 13:58:08.956040
27|146|True|2024-08-04 13:58:08.956040
28|8|False|2024-08-04 13:58:08.956040
28|146|True|2024-08-04 13:58:08.956040
29|38|False|2024-08-04 13:58:08.956040
29|79|False|2024-08-04 13:58:08.956040
29|55|True|2024-08-04 13:58:08.956040
30|38|False|2024-08-04 13:58:08.956040
30|79|False|2024-08-04 13:58:08.956040
30|55|True|2024-08-04 13:58:08.956040
31|38|False|2024-08-04 13:58:08.956040
31|79|False|2024-08-04 13:58:08.956040
31|125|True|2024-08-04 13:58:08.956040
32|38|False|2024-08-04 13:58:08.956040
32|79|False|2024-08-04 13:58:08.956040
32|55|True|2024-08-04 13:58:08.956040
33|38|False|2024-08-04 13:58:08.956040
33|79|False|2024-08-04 13:58:08.956040
33|55|True|2024-08-04 13:58:08.956040
34|38|False|2024-08-04 13:58:08.956040
34|79|False|2024-08-04 13:58:08.956040
34|125|True|2024-08-04 13:58:08.956040
35|56|False|2024-08-04 13:58:08.956040
35|98|False|2024-08-04 13:58:08.956040
35|132|True|2024-08-04 13:58:08.956040
36|56|False|2024-08-04 13:58:08.956040
36|98|False|2024-08-04 13:58:08.956040
36|109|True|2024-08-04 13:58:08.956040
37|18|False|2024-08-04 13:58:08.956040
37|70|True|2024-08-04 13:58:08.956040
38|18|False|2024-08-04 13:58:08.956040
38|70|True|2024-08-04 13:58:08.956040
39|56|False|2024-08-04 13:58:08.956040
39|172|False|2024-08-04 13:58:08.956040
39|132|True|2024-08-04 13:58:08.956040
40|56|False|2024-08-04 13:58:08.956040
40|172|False|2024-08-04 13:58:08.956040
40|119|True|2024-08-04 13:58:08.956040
41|39|False|2024-08-04 13:58:08.956040
41|151|True|2024-08-04 13:58:08.956040
42|39|False|2024-08-04 13:58:08.956040
42|151|True|2024-08-04 13:58:08.956040
43|34|False|2024-08-04 13:58:08.956040
43|50|True|2024-08-04 13:58:08.956040
44|34|False|2024-08-04 13:58:08.956040
44|1|True|2024-08-04 13:58:08.956040
45|34|False|2024-08-04 13:58:08.956040
45|27|True|2024-08-04 13:58:08.956040
46|27|False|2024-08-04 13:58:08.956040
46|87|False|2024-08-04 13:58:08.956040
46|6|True|2024-08-04 13:58:08.956040
47|27|False|2024-08-04 13:58:08.956040
47|87|False|2024-08-04 13:58:08.956040
47|6|True|2024-08-04 13:58:08.956040
48|14|False|2024-08-04 13:58:08.956040
48|110|False|2024-08-04 13:58:08.956040
48|50|True|2024-08-04 13:58:08.956040
49|19|False|2024-08-04 13:58:08.956040
49|110|False|2024-08-04 13:58:08.956040
49|147|True|2024-08-04 13:58:08.956040
50|8|False|2024-08-04 13:58:08.956040
50|71|False|2024-08-04 13:58:08.956040
50|159|True|2024-08-04 13:58:08.956040
51|8|False|2024-08-04 13:58:08.956040
51|71|False|2024-08-04 13:58:08.956040
51|159|True|2024-08-04 13:58:08.956040
52|53|False|2024-08-04 13:58:08.956040
52|101|False|2024-08-04 13:58:08.956040
52|127|True|2024-08-04 13:58:08.956040
53|7|False|2024-08-04 13:58:08.956040
53|101|False|2024-08-04 13:58:08.956040
53|127|True|2024-08-04 13:58:08.956040
54|6|False|2024-08-04 13:58:08.956040
54|13|False|2024-08-04 13:58:08.956040
54|33|True|2024-08-04 13:58:08.956040
55|6|False|2024-08-04 13:58:08.956040
55|13|False|2024-08-04 13:58:08.956040
55|33|True|2024-08-04 13:58:08.956040
56|72|False|2024-08-04 13:58:08.956040
56|83|False|2024-08-04 13:58:08.956040
56|128|True|2024-08-04 13:58:08.956040
57|72|False|2024-08-04 13:58:08.956040
57|83|False|2024-08-04 13:58:08.956040
57|128|True|2024-08-04 13:58:08.956040
58|22|False|2024-08-04 13:58:08.956040
58|18|False|2024-08-04 13:58:08.956040
58|154|True|2024-08-04 13:58:08.956040
59|22|False|2024-08-04 13:58:08.956040
59|18|False|2024-08-04 13:58:08.956040
59|154|True|2024-08-04 13:58:08.956040
60|11|False|2024-08-04 13:58:08.956040
60|6|False|2024-08-04 13:58:08.956040
60|33|True|2024-08-04 13:58:08.956040
61|11|False|2024-08-04 13:58:08.956040
61|6|False|2024-08-04 13:58:08.956040
61|33|True|2024-08-04 13:58:08.956040
62|11|False|2024-08-04 13:58:08.956040
62|6|False|2024-08-04 13:58:08.956040
62|33|True|2024-08-04 13:58:08.956040
63|28|False|2024-08-04 13:58:08.956040
63|39|False|2024-08-04 13:58:08.956040
63|98|True|2024-08-04 13:58:08.956040
64|28|False|2024-08-04 13:58:08.956040
64|39|False|2024-08-04 13:58:08.956040
64|98|True|2024-08-04 13:58:08.956040
65|28|False|2024-08-04 13:58:08.956040
65|39|False|2024-08-04 13:58:08.956040
65|98|True|2024-08-04 13:58:08.956040
66|62|False|2024-08-04 13:58:08.956040
66|99|False|2024-08-04 13:58:08.956040
66|80|True|2024-08-04 13:58:08.956040
67|62|False|2024-08-04 13:58:08.956040
67|99|False|2024-08-04 13:58:08.956040
67|80|True|2024-08-04 13:58:08.956040
68|62|False|2024-08-04 13:58:08.956040
68|99|False|2024-08-04 13:58:08.956040
68|80|True|2024-08-04 13:58:08.956040
69|34|False|2024-08-04 13:58:08.956040
69|82|True|2024-08-04 13:58:08.956040
70|34|False|2024-08-04 13:58:08.956040
70|82|True|2024-08-04 13:58:08.956040
71|34|False|2024-08-04 13:58:08.956040
71|82|True|2024-08-04 13:58:08.956040
72|29|False|2024-08-04 13:58:08.956040
72|64|False|2024-08-04 13:58:08.956040
72|44|True|2024-08-04 13:58:08.956040
73|29|False|2024-08-04 13:58:08.956040
73|64|False|2024-08-04 13:58:08.956040
73|44|True|2024-08-04 13:58:08.956040
74|69|False|2024-08-04 13:58:08.956040
74|5|False|2024-08-04 13:58:08.956040
74|8|True|2024-08-04 13:58:08.956040
75|69|False|2024-08-04 13:58:08.956040
75|5|False|2024-08-04 13:58:08.956040
75|8|True|2024-08-04 13:58:08.956040
76|69|False|2024-08-04 13:58:08.956040
76|5|False|2024-08-04 13:58:08.956040
76|8|True|2024-08-04 13:58:08.956040
77|50|False|2024-08-04 13:58:08.956040
77|18|False|2024-08-04 13:58:08.956040
77|49|True|2024-08-04 13:58:08.956040
78|50|False|2024-08-04 13:58:08.956040
78|18|False|2024-08-04 13:58:08.956040
78|49|True|2024-08-04 13:58:08.956040
79|12|False|2024-08-04 13:58:08.956040
79|20|False|2024-08-04 13:58:08.956040
79|144|True|2024-08-04 13:58:08.956040
80|12|False|2024-08-04 13:58:08.956040
80|20|False|2024-08-04 13:58:08.956040
80|144|True|2024-08-04 13:58:08.956040
81|42|False|2024-08-04 13:58:08.956040
81|5|False|2024-08-04 13:58:08.956040
81|148|True|2024-08-04 13:58:08.956040
82|42|False|2024-08-04 13:58:08.956040
82|5|False|2024-08-04 13:58:08.956040
82|148|True|2024-08-04 13:58:08.956040
83|51|False|2024-08-04 13:58:08.956040
83|39|False|2024-08-04 13:58:08.956040
83|128|True|2024-08-04 13:58:08.956040
84|50|False|2024-08-04 13:58:08.956040
84|48|False|2024-08-04 13:58:08.956040
84|77|True|2024-08-04 13:58:08.956040
85|50|False|2024-08-04 13:58:08.956040
85|48|False|2024-08-04 13:58:08.956040
85|77|True|2024-08-04 13:58:08.956040
86|47|False|2024-08-04 13:58:08.956040
86|93|False|2024-08-04 13:58:08.956040
86|115|True|2024-08-04 13:58:08.956040
87|47|False|2024-08-04 13:58:08.956040
87|93|False|2024-08-04 13:58:08.956040
87|115|True|2024-08-04 13:58:08.956040
88|1|False|2024-08-04 13:58:08.956040
88|60|False|2024-08-04 13:58:08.956040
88|143|True|2024-08-04 13:58:08.956040
89|1|False|2024-08-04 13:58:08.956040
89|60|False|2024-08-04 13:58:08.956040
89|143|True|2024-08-04 13:58:08.956040
90|75|False|2024-08-04 13:58:08.956040
90|92|False|2024-08-04 13:58:08.956040
90|142|True|2024-08-04 13:58:08.956040
91|75|False|2024-08-04 13:58:08.956040
91|92|False|2024-08-04 13:58:08.956040
91|142|True|2024-08-04 13:58:08.956040
92|26|False|2024-08-04 13:58:08.956040
93|26|False|2024-08-04 13:58:08.956040
94|130|False|2024-08-04 13:58:08.956040
95|69|False|2024-08-04 13:58:08.956040
95|5|False|2024-08-04 13:58:08.956040
95|133|True|2024-08-04 13:58:08.956040
96|15|False|2024-08-04 13:58:08.956040
96|108|False|2024-08-04 13:58:08.956040
