pkmn_id|ability_id|ability_is_hidden|cargar_datetime
1|65|False|2024-08-04 13:58:21.646308
1|34|True|2024-08-04 13:58:21.646308
2|65|False|2024-08-04 13:58:21.646308
2|34|True|2024-08-04 13:58:21.646308
3|65|False|2024-08-04 13:58:21.646308
3|34|True|2024-08-04 13:58:21.646308
4|66|False|2024-08-04 13:58:21.646308
4|94|True|2024-08-04 13:58:21.646308
5|66|False|2024-08-04 13:58:21.646308
5|94|True|2024-08-04 13:58:21.646308
6|66|False|2024-08-04 13:58:21.646308
6|94|True|2024-08-04 13:58:21.646308
7|67|False|2024-08-04 13:58:21.646308
7|44|True|2024-08-04 13:58:21.646308
8|67|False|2024-08-04 13:58:21.646308
8|44|True|2024-08-04 13:58:21.646308
9|67|False|2024-08-04 13:58:21.646308
9|44|True|2024-08-04 13:58:21.646308
10|19|False|2024-08-04 13:58:21.646308
10|50|True|2024-08-04 13:58:21.646308
11|61|False|2024-08-04 13:58:21.646308
12|14|False|2024-08-04 13:58:21.646308
12|110|True|2024-08-04 13:58:21.646308
13|19|False|2024-08-04 13:58:21.646308
13|50|True|2024-08-04 13:58:21.646308
14|61|False|2024-08-04 13:58:21.646308
15|68|False|2024-08-04 13:58:21.646308
15|97|True|2024-08-04 13:58:21.646308
16|51|False|2024-08-04 13:58:21.646308
16|77|False|2024-08-04 13:58:21.646308
16|145|True|2024-08-04 13:58:21.646308
17|51|False|2024-08-04 13:58:21.646308
17|77|False|2024-08-04 13:58:21.646308
17|145|True|2024-08-04 13:58:21.646308
18|51|False|2024-08-04 13:58:21.646308
18|77|False|2024-08-04 13:58:21.646308
18|145|True|2024-08-04 13:58:21.646308
19|50|False|2024-08-04 13:58:21.646308
19|62|False|2024-08-04 13:58:21.646308
19|55|True|2024-08-04 13:58:21.646308
20|50|False|2024-08-04 13:58:21.646308
20|62|False|2024-08-04 13:58:21.646308
20|55|True|2024-08-04 13:58:21.646308
21|51|False|2024-08-04 13:58:21.646308
21|97|True|2024-08-04 13:58:21.646308
22|51|False|2024-08-04 13:58:21.646308
22|97|True|2024-08-04 13:58:21.646308
23|22|False|2024-08-04 13:58:21.646308
23|61|False|2024-08-04 13:58:21.646308
23|127|True|2024-08-04 13:58:21.646308
24|22|False|2024-08-04 13:58:21.646308
24|61|False|2024-08-04 13:58:21.646308
24|127|True|2024-08-04 13:58:21.646308
25|9|False|2024-08-04 13:58:21.646308
25|31|True|2024-08-04 13:58:21.646308
26|9|False|2024-08-04 13:58:21.646308
26|31|True|2024-08-04 13:58:21.646308
27|8|False|2024-08-04 13:58:21.646308
27|146|True|2024-08-04 13:58:21.646308
28|8|False|2024-08-04 13:58:21.646308
28|146|True|2024-08-04 13:58:21.646308
29|38|False|2024-08-04 13:58:21.646308
29|79|False|2024-08-04 13:58:21.646308
29|55|True|2024-08-04 13:58:21.646308
30|38|False|2024-08-04 13:58:21.646308
30|79|False|2024-08-04 13:58:21.646308
30|55|True|2024-08-04 13:58:21.646308
31|38|False|2024-08-04 13:58:21.646308
31|79|False|2024-08-04 13:58:21.646308
31|125|True|2024-08-04 13:58:21.646308
32|38|False|2024-08-04 13:58:21.646308
32|79|False|2024-08-04 13:58:21.646308
32|55|True|2024-08-04 13:58:21.646308
33|38|False|2024-08-04 13:58:21.646308
33|79|False|2024-08-04 13:58:21.646308
33|55|True|2024-08-04 13:58:21.646308
34|38|False|2024-08-04 13:58:21.646308
34|79|False|2024-08-04 13:58:21.646308
34|125|True|2024-08-04 13:58:21.646308
35|56|False|2024-08-04 13:58:21.646308
35|98|False|2024-08-04 13:58:21.646308
35|132|True|2024-08-04 13:58:21.646308
36|56|False|2024-08-04 13:58:21.646308
36|98|False|2024-08-04 13:58:21.646308
36|109|True|2024-08-04 13:58:21.646308
37|18|False|2024-08-04 13:58:21.646308
37|70|True|2024-08-04 13:58:21.646308
38|18|False|2024-08-04 13:58:21.646308
38|70|True|2024-08-04 13:58:21.646308
39|56|False|2024-08-04 13:58:21.646308
39|172|False|2024-08-04 13:58:21.646308
39|132|True|2024-08-04 13:58:21.646308
40|56|False|2024-08-04 13:58:21.646308
40|172|False|2024-08-04 13:58:21.646308
40|119|True|2024-08-04 13:58:21.646308
41|39|False|2024-08-04 13:58:21.646308
41|151|True|2024-08-04 13:58:21.646308
42|39|False|2024-08-04 13:58:21.646308
42|151|True|2024-08-04 13:58:21.646308
43|34|False|2024-08-04 13:58:21.646308
43|50|True|2024-08-04 13:58:21.646308
44|34|False|2024-08-04 13:58:21.646308
44|1|True|2024-08-04 13:58:21.646308
45|34|False|2024-08-04 13:58:21.646308
45|27|True|2024-08-04 13:58:21.646308
46|27|False|2024-08-04 13:58:21.646308
46|87|False|2024-08-04 13:58:21.646308
46|6|True|2024-08-04 13:58:21.646308
47|27|False|2024-08-04 13:58:21.646308
47|87|False|2024-08-04 13:58:21.646308
47|6|True|2024-08-04 13:58:21.646308
48|14|False|2024-08-04 13:58:21.646308
48|110|False|2024-08-04 13:58:21.646308
48|50|True|2024-08-04 13:58:21.646308
49|19|False|2024-08-04 13:58:21.646308
49|110|False|2024-08-04 13:58:21.646308
49|147|True|2024-08-04 13:58:21.646308
50|8|False|2024-08-04 13:58:21.646308
50|71|False|2024-08-04 13:58:21.646308
50|159|True|2024-08-04 13:58:21.646308
51|8|False|2024-08-04 13:58:21.646308
51|71|False|2024-08-04 13:58:21.646308
51|159|True|2024-08-04 13:58:21.646308
52|53|False|2024-08-04 13:58:21.646308
52|101|False|2024-08-04 13:58:21.646308
52|127|True|2024-08-04 13:58:21.646308
53|7|False|2024-08-04 13:58:21.646308
53|101|False|2024-08-04 13:58:21.646308
53|127|True|2024-08-04 13:58:21.646308
54|6|False|2024-08-04 13:58:21.646308
54|13|False|2024-08-04 13:58:21.646308
54|33|True|2024-08-04 13:58:21.646308
55|6|False|2024-08-04 13:58:21.646308
55|13|False|2024-08-04 13:58:21.646308
55|33|True|2024-08-04 13:58:21.646308
56|72|False|2024-08-04 13:58:21.646308
56|83|False|2024-08-04 13:58:21.646308
56|128|True|2024-08-04 13:58:21.646308
57|72|False|2024-08-04 13:58:21.646308
57|83|False|2024-08-04 13:58:21.646308
57|128|True|2024-08-04 13:58:21.646308
58|22|False|2024-08-04 13:58:21.646308
58|18|False|2024-08-04 13:58:21.646308
58|154|True|2024-08-04 13:58:21.646308
59|22|False|2024-08-04 13:58:21.646308
59|18|False|2024-08-04 13:58:21.646308
59|154|True|2024-08-04 13:58:21.646308
60|11|False|2024-08-04 13:58:21.646308
60|6|False|2024-08-04 13:58:21.646308
60|33|True|2024-08-04 13:58:21.646308
61|11|False|2024-08-04 13:58:21.646308
61|6|False|2024-08-04 13:58:21.646308
61|33|True|2024-08-04 13:58:21.646308
62|11|False|2024-08-04 13:58:21.646308
62|6|False|2024-08-04 13:58:21.646308
62|33|True|2024-08-04 13:58:21.646308
63|28|False|2024-08-04 13:58:21.646308
63|39|False|2024-08-04 13:58:21.646308
63|98|True|2024-08-04 13:58:21.646308
64|28|False|2024-08-04 13:58:21.646308
64|39|False|2024-08-04 13:58:21.646308
64|98|True|2024-08-04 13:58:21.646308
65|28|False|2024-08-04 13:58:21.646308
65|39|False|2024-08-04 13:58:21.646308
65|98|True|2024-08-04 13:58:21.646308
66|62|False|2024-08-04 13:58:21.646308
66|99|False|2024-08-04 13:58:21.646308
66|80|True|2024-08-04 13:58:21.646308
67|62|False|2024-08-04 13:58:21.646308
67|99|False|2024-08-04 13:58:21.646308
67|80|True|2024-08-04 13:58:21.646308
68|62|False|2024-08-04 13:58:21.646308
68|99|False|2024-08-04 13:58:21.646308
68|80|True|2024-08-04 13:58:21.646308
69|34|False|2024-08-04 13:58:21.646308
69|82|True|2024-08-04 13:58:21.646308
70|34|False|2024-08-04 13:58:21.646308
70|82|True|2024-08-04 13:58:21.646308
71|34|False|2024-08-04 13:58:21.646308
71|82|True|2024-08-04 13:58:21.646308
72|29|False|2024-08-04 13:58:21.646308
72|64|False|2024-08-04 13:58:21.646308
72|44|True|2024-08-04 13:58:21.646308
73|29|False|2024-08-04 13:58:21.646308
73|64|False|2024-08-04 13:58:21.646308
73|44|True|2024-08-04 13:58:21.646308
74|69|False|2024-08-04 13:58:21.646308
74|5|False|2024-08-04 13:58:21.646308
74|8|True|2024-08-04 13:58:21.646308
75|69|False|2024-08-04 13:58:21.646308
75|5|False|2024-08-04 13:58:21.646308
75|8|True|2024-08-04 13:58:21.646308
76|69|False|2024-08-04 13:58:21.646308
76|5|False|2024-08-04 13:58:21.646308
76|8|True|2024-08-04 13:58:21.646308
77|50|False|2024-08-04 13:58:21.646308
77|18|False|2024-08-04 13:58:21.646308
77|49|True|2024-08-04 13:58:21.646308
78|50|False|2024-08-04 13:58:21.646308
78|18|False|2024-08-04 13:58:21.646308
78|49|True|2024-08-04 13:58:21.646308
79|12|False|2024-08-04 13:58:21.646308
79|20|False|2024-08-04 13:58:21.646308
79|144|True|2024-08-04 13:58:21.646308
80|12|False|2024-08-04 13:58:21.646308
80|20|False|2024-08-04 13:58:21.646308
80|144|True|2024-08-04 13:58:21.646308
81|42|False|2024-08-04 13:58:21.646308
81|5|False|2024-08-04 13:58:21.646308
81|148|True|2024-08-04 13:58:21.646308
82|42|False|2024-08-04 13:58:21.646308
82|5|False|2024-08-04 13:58:21.646308
82|148|True|2024-08-04 13:58:21.646308
83|51|False|2024-08-04 13:58:21.646308
83|39|False|2024-08-04 13:58:21.646308
83|128|True|2024-08-04 13:58:21.646308
84|50|False|2024-08-04 13:58:21.646308
84|48|False|2024-08-04 13:58:21.646308
84|77|True|2024-08-04 13:58:21.646308
